,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
274,0.49,0.38,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
275,0.00,0.07,0.00,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1
276,0.57,0.41,0.33,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
277,0.14,0.30,0.33,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
278,0.96,0.33,0.00,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
279,0.45,0.55,0.33,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
280,0.29,0.30,0.33,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
281,0.00,0.18,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
282,0.94,0.85,0.33,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
283,0.51,0.59,1.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
284,0.08,0.15,1.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
285,0.14,0.08,0.00,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
286,0.43,0.34,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
287,0.82,0.40,1.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
288,0.31,0.16,0.33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
289,0.69,0.55,0.33,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
290,0.10,0.15,0.00,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
291,0.53,0.59,0.00,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
292,0.67,0.71,0.67,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
293,0.16,0.27,0.00,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
294,0.49,0.30,0.00,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
295,0.33,0.47,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
296,0.73,0.34,0.67,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
297,0.00,0.06,0.67,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
298,0.59,0.21,0.67,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
299,0.12,0.15,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
300,0.02,0.05,0.33,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
301,0.39,0.18,0.00,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
302,0.55,0.42,0.00,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
303,0.63,0.63,1.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
304,1.00,0.90,1.00,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
305,0.35,0.11,0.00,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
306,0.92,0.81,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
307,0.41,0.37,0.00,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
308,0.61,0.36,0.67,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
309,0.20,0.12,0.33,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
310,0.57,0.44,0.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
311,0.98,0.54,0.33,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
312,0.88,0.44,0.67,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
313,0.00,0.19,0.67,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0
314,0.73,0.22,0.00,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
315,0.55,0.65,0.00,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
316,0.86,0.29,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
317,0.55,0.56,0.33,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
318,0.27,0.31,0.67,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
319,0.43,0.29,0.00,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
320,0.71,0.57,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
321,0.35,0.31,0.00,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1
322,0.14,0.10,0.33,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
323,0.29,0.33,0.00,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
324,0.37,0.40,0.00,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
325,0.12,0.08,0.00,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
326,0.43,0.51,0.33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
327,0.12,0.28,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
328,0.80,0.79,0.33,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1
329,0.18,0.23,1.00,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
330,0.98,0.82,1.00,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
331,0.00,0.11,0.67,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
332,0.31,0.42,0.00,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
333,0.61,0.22,0.67,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
334,0.10,0.28,0.33,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
335,0.53,0.37,0.33,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
336,0.43,0.38,0.67,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
337,0.96,0.57,0.33,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
338,0.86,0.56,0.67,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
339,0.04,0.23,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
340,0.55,0.41,0.00,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
341,0.98,0.75,0.33,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1
342,0.94,0.83,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
343,0.67,0.25,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
344,0.33,0.32,0.67,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
345,0.96,0.64,0.33,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
346,0.65,0.60,0.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
347,0.98,0.69,0.00,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
348,0.92,0.57,0.00,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
349,0.71,0.33,0.33,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
350,0.31,0.45,0.00,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
351,0.41,0.33,0.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
352,0.78,0.34,0.33,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
353,0.61,0.65,0.33,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
354,0.63,0.43,0.00,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1
355,0.73,0.78,0.67,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1
356,0.47,0.31,0.00,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
357,0.02,0.08,0.00,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
358,0.69,0.50,1.00,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
359,0.69,0.31,0.33,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
360,0.94,0.80,0.67,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
361,0.78,0.26,1.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
362,0.78,0.42,0.67,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
363,0.02,0.13,0.00,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
364,0.78,0.80,0.33,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
365,0.18,0.21,0.67,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
366,0.84,0.43,0.33,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
367,0.78,0.74,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
368,0.06,0.11,0.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
369,0.94,0.50,1.00,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
370,0.90,0.72,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
371,0.53,0.58,0.67,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
372,0.12,0.05,0.00,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
373,0.69,0.40,0.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
374,1.00,0.73,0.67,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
375,0.47,0.27,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
376,0.82,0.49,0.33,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
377,0.45,0.34,0.67,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
378,0.02,0.22,0.00,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
379,0.04,0.08,1.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
380,0.78,0.37,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
381,0.57,0.47,0.67,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
382,0.24,0.17,0.33,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
383,0.45,0.51,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
384,0.37,0.38,0.00,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
385,0.80,0.57,1.00,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
386,0.63,0.18,0.00,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
387,0.88,0.43,0.33,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
388,0.22,0.17,0.00,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
389,0.61,0.19,0.00,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
390,0.78,0.68,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
391,0.45,0.30,0.00,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
392,0.82,0.57,1.00,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
393,0.86,0.29,0.67,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
394,0.82,0.35,0.00,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
395,1.00,0.32,1.00,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
396,0.45,0.36,0.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
397,0.61,0.50,0.67,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
398,0.94,0.90,0.33,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
399,0.51,0.57,0.00,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
400,0.33,0.25,0.00,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
401,0.16,0.25,1.00,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0
402,0.61,0.58,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
403,0.35,0.27,0.00,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
404,0.12,0.15,1.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
405,0.59,0.54,1.00,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
406,0.69,0.70,0.33,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
407,0.27,0.30,0.00,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
408,0.47,0.29,0.33,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
409,0.10,0.10,0.67,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
410,0.18,0.23,0.33,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
411,0.08,0.04,0.00,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
412,1.00,0.91,0.67,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
413,0.16,0.20,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1
414,0.82,0.71,0.00,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
415,0.18,0.26,0.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
416,0.37,0.13,0.33,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
417,0.27,0.31,0.33,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1
418,0.20,0.36,0.67,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
419,0.80,0.29,0.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
420,0.94,0.76,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
421,0.63,0.63,0.33,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
422,0.08,0.11,0.33,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
423,0.82,0.67,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
424,0.04,0.21,0.33,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
425,0.53,0.44,0.00,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
426,0.96,0.43,1.00,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
427,0.71,0.47,0.67,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1
428,0.33,0.21,0.33,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
429,0.35,0.39,0.67,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
430,0.61,0.41,0.00,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
431,0.94,0.92,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
432,0.57,0.20,0.00,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
433,0.49,0.40,0.00,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1
434,0.59,0.31,0.00,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
435,0.10,0.12,0.67,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
436,0.35,0.20,0.00,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
437,0.94,0.45,0.33,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1
438,0.00,0.12,0.33,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
439,0.02,0.18,0.33,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
440,0.45,0.42,0.33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
441,0.59,0.68,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
442,0.51,0.54,0.00,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
443,0.41,0.49,0.00,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
444,0.06,0.19,0.00,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
445,0.45,0.46,0.00,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
446,0.69,0.67,0.00,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
447,0.35,0.44,0.67,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
448,0.71,0.76,1.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1
449,0.41,0.50,0.00,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
450,0.49,0.41,1.00,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
451,0.51,0.58,0.00,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
452,0.84,0.38,0.00,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
453,0.84,0.80,0.00,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
454,0.12,0.20,0.00,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
455,0.18,0.12,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
456,0.29,0.14,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
457,0.96,0.97,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
458,0.00,0.15,0.33,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
459,0.98,0.72,0.33,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
460,0.47,0.32,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
461,0.94,0.34,0.00,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
462,0.10,0.22,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
463,0.22,0.18,0.67,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0
464,0.20,0.27,0.00,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
465,0.80,0.40,0.67,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
466,0.41,0.29,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
467,0.33,0.13,1.00,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
468,0.51,0.17,0.00,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
469,0.92,0.56,1.00,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
470,0.90,0.63,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
471,0.67,0.35,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
472,0.88,0.28,0.67,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
473,0.47,0.39,0.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
474,0.27,0.30,0.33,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
475,0.31,0.12,0.67,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
476,0.51,0.36,0.33,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
477,0.45,0.39,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
478,0.59,0.32,0.67,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
479,0.57,0.66,0.33,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
480,0.24,0.11,0.67,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0
481,0.59,0.68,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
482,0.53,0.48,0.00,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
483,0.10,0.20,0.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
484,0.20,0.28,0.33,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
485,0.94,0.77,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
486,0.35,0.29,0.00,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
487,0.02,0.20,0.33,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
488,0.18,0.15,1.00,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
489,0.18,0.26,0.67,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
490,0.82,0.46,0.33,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1
491,0.57,0.21,0.33,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
492,0.88,0.39,0.00,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
493,0.84,0.62,0.00,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
494,0.59,0.67,1.00,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
495,0.53,0.58,0.00,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
496,0.65,0.62,0.67,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
497,0.94,0.72,0.00,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
498,0.67,0.67,0.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
499,0.57,0.24,0.00,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
500,0.43,0.39,1.00,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
501,0.82,0.48,0.33,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
502,0.29,0.37,0.00,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
503,0.08,0.18,0.00,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
504,0.92,0.94,0.33,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
505,0.35,0.41,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
506,0.84,0.31,0.00,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
507,0.08,0.11,0.00,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
508,0.86,0.78,0.67,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
509,0.10,0.11,0.67,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
510,0.22,0.14,0.00,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
511,0.53,0.19,1.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
512,0.92,0.67,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
513,0.14,0.16,1.00,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0
514,0.39,0.50,0.00,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
515,0.61,0.20,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
516,0.35,0.26,0.00,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
517,0.67,0.49,0.33,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
518,0.18,0.29,1.00,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
519,0.78,0.41,1.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
520,0.41,0.12,0.67,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1
521,0.37,0.21,0.67,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
522,0.18,0.13,1.00,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
523,0.33,0.19,0.00,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
524,0.53,0.24,0.00,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
525,0.51,0.25,0.33,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
526,0.29,0.16,0.67,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
527,0.06,0.10,0.33,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
528,0.24,0.36,0.67,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
529,0.76,0.66,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
530,0.94,0.93,0.33,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
531,0.37,0.39,0.33,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
532,0.84,0.43,0.33,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
533,0.86,0.43,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
534,0.18,0.15,0.33,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
535,0.22,0.09,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
536,0.71,0.57,0.33,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
537,0.88,0.90,0.67,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
538,0.51,0.58,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
539,0.02,0.09,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
540,0.61,0.29,0.33,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1
541,0.43,0.56,0.67,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
542,0.29,0.17,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
543,0.92,0.75,0.33,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
544,0.57,0.28,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
545,0.45,0.54,0.00,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
546,0.18,0.18,0.00,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
547,0.08,0.07,0.67,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
548,0.49,0.27,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
549,0.82,0.82,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
550,0.10,0.05,0.33,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
